資料名稱,小韻號,韻部原貌,最簡描述,反切覈校前,反切,字頭覈校前,字頭,釋義,釋義補充,圖片id
廣韻,1,東,端一東平,德紅,德紅,東,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,,上平07左
廣韻,1,東,端一東平,德紅,德紅,菄,菄,東風菜義見上注俗加艹,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,上平07左
廣韻,1,東,端一東平,德紅,德紅,鶇,鶇,鶇鵍鳥名美形出廣雅亦作𪂝,,上平07左
廣韻,1,東,端一東平,德紅,德紅,䍶,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,,上平07左
廣韻,1,東,端一東平,德紅,德紅,𠍀,𠍀,儱𠍀儜劣皃出字諟,,上平08右
廣韻,1,東,端一東平,德紅,德紅,倲,倲,上同,儱𠍀儜劣皃出字諟,上平08右
廣韻,1,東,端一東平,德紅,德紅,𩜍,𩜍,地理志云東郡館名,,上平08右
廣韻,1,東,端一東平,德紅,德紅,𢘐,𢘐,古文見道經,,上平08右
廣韻,1,東,端一東平,德紅,德紅,涷,涷,瀧涷沾漬說文曰水出發鳩山入於河又都貢切,,上平08右
廣韻,1,東,端一東平,德紅,德紅,蝀,蝀,螮蝀虹也又音董,,上平08右
廣韻,1,東,端一東平,德紅,德紅,凍,凍,凍凌又都貢切,,上平08右
廣韻,1,東,端一東平,德紅,德紅,鯟,鯟,魚名似鯉,,上平08右
廣韻,1,東,端一東平,德紅,德紅,𢔅,𢔅,行皃,,上平08右
廣韻,1,東,端一東平,德紅,德紅,崠,崠,崠如山名,,上平08右
廣韻,1,東,端一東平,德紅,德紅,埬,埬,上埬地名,,上平08右
廣韻,1,東,端一東平,德紅,德紅,𧓕,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,,上平08右
廣韻,1,東,端一東平,德紅,德紅,䰤,䰤,醜皃,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,同,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,仝,仝,古文出道書,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,童,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,僮,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,銅,銅,金之一品,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,桐,桐,木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,峒,峒,崆峒山名,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,硐,硐,磨也,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,𦨴,𦨴,𦨴船,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,𧱁,𧱁,獸似豕出泰山,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,筒,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,瞳,瞳,目瞳,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,㼧,㼧,㼧瓦,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,𤭁,𤭁,上同,㼧瓦,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,罿,罿,車上網又音衝,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,犝,犝,犝牛無角,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,筩,筩,竹筩,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,潼,潼,水名出廣漢郡亦關名又通衝二音,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,曈,曈,曈曨日欲明也又他孔切,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,洞,洞,洪洞縣名在晉州北又徒弄切,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,侗,侗,楊子法言云倥侗顓蒙,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,橦,橦,木名花可爲布出字書又鍾幢二音,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,烔,烔,熱氣烔烔出字林,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,䴀,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記,,上平08右
廣韻,2,東,定一東平,徒紅,徒紅,挏,挏,引也漢官名有挏馬又音動,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,酮,酮,馬酪又音動,,上平08左
廣韻,2,東,定一東平,徒紅,徒紅,鮦,鮦,爾雅云鰹大鮦又直冢直柳二切,,上平08左
