小韻號,字頭,釋義
1,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七
1,菄,東風菜義見上注俗加艹
1,鶇,鶇鵍鳥名美形出廣雅亦作𪂝
1,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟
1,𠍀,儱𠍀儜劣皃出字諟
1,倲,儱𠍀儜劣皃出字諟
1,𩜍,地理志云東郡館名
1,𢘐,古文見道經
1,涷,瀧涷沾漬說文曰水出發鳩山入於河又都貢切
1,蝀,螮蝀虹也又音董
1,凍,凍凌又都貢切
1,鯟,魚名似鯉
1,𢔅,行皃
1,崠,崠如山名
1,埬,上埬地名
1,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵
1,䰤,醜皃
2,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五
2,仝,古文出道書
2,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉
2,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通
2,銅,金之一品
2,桐,木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷
2,峒,崆峒山名
2,硐,磨也
2,𦨴,𦨴船
2,𧱁,獸似豕出泰山
